playerId,total_contribution,firstName,lastName,wyId,age,role,minutesPlayed,contribution_per_90,place
3286,6.837686702606785,Daniel,Parejo Mu\u00f1oz,3286.0,29.0,"{'code2': 'MD', 'code3': 'MID', 'name': 'Midfielder'}",3112.0,0.19774800875148155,121
241966,5.829308040268156,Gideon,Jung,241966.0,23.0,"{'code2': 'DF', 'code3': 'DEF', 'name': 'Defender'}",2656.0,0.19752926341270105,122
50073,6.091164682694786,Artur,Ioni\u0163\u0103,50073.0,27.0,"{'code2': 'MD', 'code3': 'MID', 'name': 'Midfielder'}",2776.0,0.19748012299802983,123
3797,5.53883033782017,V\u00edctor,S\u00e1nchez Mata,3797.0,30.0,"{'code2': 'MD', 'code3': 'MID', 'name': 'Midfielder'}",2535.0,0.1966448640646214,124
235450,5.452271922250303,Abdou,Diallo,235450.0,22.0,"{'code2': 'DF', 'code3': 'DEF', 'name': 'Defender'}",2502.0,0.19612488928957927,125
15937,5.1330739933305205,Diego,Demme,15937.0,26.0,"{'code2': 'MD', 'code3': 'MID', 'name': 'Midfielder'}",2357.0,0.1960019768348523,126
3671,5.618419897932345,\u00cd\u00f1igo,Mart\u00ednez Berridi,3671.0,27.0,"{'code2': 'DF', 'code3': 'DEF', 'name': 'Defender'}",2583.0,0.1957637595098378,127
86220,4.761696226971724,Gabriel Iv\u00e1n,Mercado,86220.0,31.0,"{'code2': 'DF', 'code3': 'DEF', 'name': 'Defender'}",2193.0,0.1954184498073211,128
3308,6.456845045446815,Pedro Filipe,Teod\u00f3sio Mendes,3308.0,27.0,"{'code2': 'DF', 'code3': 'DEF', 'name': 'Defender'}",2974.0,0.1953988076967765,129
25923,4.962624459489587,Nicolas,de Roussel de Pr\u00e9ville,25923.0,27.0,"{'code2': 'FW', 'code3': 'FWD', 'name': 'Forward'}",2288.0,0.19520812996244002,130
92966,5.269857953800781,Konstantinos,Manolas,92966.0,27.0,"{'code2': 'DF', 'code3': 'DEF', 'name': 'Defender'}",2436.0,0.1946991854852505,131
14715,4.871532212901944,Holger,Badstuber,14715.0,29.0,"{'code2': 'DF', 'code3': 'DEF', 'name': 'Defender'}",2252.0,0.19468823230958038,132
14929,4.673998854926586,Makoto,Hasebe,14929.0,34.0,"{'code2': 'MD', 'code3': 'MID', 'name': 'Midfielder'}",2162.0,0.19456979507094943,133
265865,6.392435559721752,Sergej,Milinkovi\u0107-Savi\u0107,265865.0,23.0,"{'code2': 'MD', 'code3': 'MID', 'name': 'Midfielder'}",2962.0,0.1942333559672376,134
14687,5.278380573188706,Sokratis,Papastathopoulos,14687.0,30.0,"{'code2': 'DF', 'code3': 'DEF', 'name': 'Defender'}",2457.0,0.19334727374317603,135
3431,6.098259031043429,Jo\u00e3o,Miranda de Souza Filho,3431.0,33.0,"{'code2': 'DF', 'code3': 'DEF', 'name': 'Defender'}",2840.0,0.19325468760348893,136
229427,5.596728432661154,Alexander,Djiku,229427.0,23.0,"{'code2': 'DF', 'code3': 'DEF', 'name': 'Defender'}",2613.0,0.1927690619745518,137
3280,5.295676540660996,\u00c9ver Maximiliano David,Banega,3280.0,30.0,"{'code2': 'MD', 'code3': 'MID', 'name': 'Midfielder'}",2486.0,0.19171797613012456,138
214710,6.142996340970238,Bakaye,Dibassy,214710.0,28.0,"{'code2': 'DF', 'code3': 'DEF', 'name': 'Defender'}",2886.0,0.19156953246268932,139
235597,5.754302423837248,Timo,Baumgartl,235597.0,22.0,"{'code2': 'DF', 'code3': 'DEF', 'name': 'Defender'}",2705.0,0.19145553351029662,140
37739,5.839444316313783,Dennis,Praet,37739.0,24.0,"{'code2': 'MD', 'code3': 'MID', 'name': 'Midfielder'}",2748.0,0.19124817629848634,141
159,5.209234207974429,Jeffrey,Gouweleeuw,159.0,26.0,"{'code2': 'DF', 'code3': 'DEF', 'name': 'Defender'}",2463.0,0.19034960565070996,142
15256,5.063222669828363,Pirmin,Schwegler,15256.0,31.0,"{'code2': 'MD', 'code3': 'MID', 'name': 'Midfielder'}",2397.0,0.19010848572572078,143
4303,7.263158876187898,David,L\u00f3pez Silva,4303.0,28.0,"{'code2': 'DF', 'code3': 'DEF', 'name': 'Defender'}",3447.0,0.1896386129552976,144
25995,4.806727702098843,Benjamin,Stambouli,25995.0,27.0,"{'code2': 'MD', 'code3': 'MID', 'name': 'Midfielder'}",2283.0,0.18948992255317382,145
272440,5.813061813524176,Maximilian,Eggestein,272440.0,21.0,"{'code2': 'MD', 'code3': 'MID', 'name': 'Midfielder'}",2774.0,0.1885996983479365,146
3335,4.849620692931577,Marc,Bartra Aregall,3335.0,27.0,"{'code2': 'DF', 'code3': 'DEF', 'name': 'Defender'}",2319.0,0.188212963503166,147
